alias,dateCreate,productId,shopId,shopName,minOrder,maxOrder,weight,weightUnit,condition,status,product_url,needPrescription,catalogID,isLeasing,isBlacklisted,isTokoNow,etalase_id,etalase_name,etalase_url,category_id,category_name,category_title,category_url,isAdult,isKyc,minAge,related_category_id,related_category_name,related_category_url,transactionSuccess,transactionReject,countSold,paymentVerified,itemSoldFmt,countView,countReview,countTalk,rating,product_name,product_price,currency,useStock,stockValue,isVariant,isCOD
grosir-pemesanan-nota-live-termos-dll-bubu-shop14-27500-a425d,2023-12-14T23:20:22+07:00,12351917533,15324454,Bayu Go Store,1,198,1000,GRAM,NEW,ACTIVE,https://www.tokopedia.com/bayugo/grosir-pemesanan-nota-live-termos-dll-bubu-shop14-27500-a425d,False,0,False,False,False,35555762,kebutuhan rumah,https://www.tokopedia.com/bayugo/etalase/kebutuhan-rumah,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,0,0,0,0.0,Grosir Pemesanan NOTA LIVE TERMOS DLL (BUBU_SHOP14) - 27500,105000,IDR,True,198,True,True
lr378-kartun-semangka-fan-silent-genggam-kipas-kecil,2022-12-21T22:29:05+07:00,7279779986,14918318,windisukmawati,1,2001,255,GRAM,NEW,ACTIVE,https://www.tokopedia.com/windisukmawati/lr378-kartun-semangka-fan-silent-genggam-kipas-kecil,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,3,0,0,0.0,LR378 Kartun Semangka Fan Silent Genggam Kipas Kecil,156000,IDR,True,2001,False,False
1-front-motor-cover-tutup-depan-kipas-angin-plus-pengunci-multi,2023-10-10T16:34:36+07:00,11794300688,16423523,SEMBIRINGBRAHMANA,3,400,200,GRAM,NEW,ACTIVE,https://www.tokopedia.com/sembiringbrahmana/1-front-motor-cover-tutup-depan-kipas-angin-plus-pengunci-multi,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,(1) FRONT MOTOR COVER TUTUP DEPAN KIPAS ANGIN PLUS PENGUNCI MULTI,10000,IDR,True,400,False,False
diskon-sekarang-isi-10-pcs-cantolan-hak-ram-nekel-10-cm-058e8,2023-12-29T07:24:36+07:00,12432869322,15447879,Zakiya Onshop,1,20000,1000,GRAM,NEW,ACTIVE,https://www.tokopedia.com/zakiyaonshop/diskon-sekarang-isi-10-pcs-cantolan-hak-ram-nekel-10-cm-058e8,False,0,False,False,False,35575474,kebutuhan rumah,https://www.tokopedia.com/zakiyaonshop/etalase/kebutuhan-rumah,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,0,0,0,0.0,Diskon Sekarang Isi 10 pcs cantolan hak ram nekel - 10 cm,139000,IDR,True,20000,True,True
garansi-belanja-gantungan-sapu-alat-pel-dengan-hook-3-4-5-slot-4-3-j-4-g-26a09,2023-12-01T03:21:20+07:00,12244158299,15404070,Tutut Store63,1,1523,1000,GRAM,NEW,ACTIVE,https://www.tokopedia.com/tutut/garansi-belanja-gantungan-sapu-alat-pel-dengan-hook-3-4-5-slot-4-3-j-4-g-26a09,False,0,False,False,False,35575954,kebutuhan rumah,https://www.tokopedia.com/tutut/etalase/kebutuhan-rumah,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,0,0,0,0.0,Garansi Belanja Gantungan sapu alat pel dengan hook 3 & 4 & 5 slot 4 & - 3 J 4 G,156000,IDR,True,1523,True,True
original-speeds-lampu-taman-panel-tenaga-surya-matahari-lampu-tancap,2023-08-26T18:39:19+07:00,11365144448,15318909,Prasetia Olshoping,1,100000,750,GRAM,NEW,ACTIVE,https://www.tokopedia.com/prasetiaolshoping/original-speeds-lampu-taman-panel-tenaga-surya-matahari-lampu-tancap,False,0,False,False,False,34867932,Terbaru,https://www.tokopedia.com/prasetiaolshoping/etalase/terbaru,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,Original Speeds Lampu Taman Panel Tenaga Surya Matahari Lampu Tancap,195000,IDR,True,100000,False,True
miliki-sampoerna-mild-12-1-slop-rokok-mild-kecil,2023-08-27T02:14:43+07:00,11374221467,16080380,kentangrebuss,1,14,250,GRAM,NEW,ACTIVE,https://www.tokopedia.com/kentangrebuss/miliki-sampoerna-mild-12-1-slop-rokok-mild-kecil,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,7,0,0,0.0,Miliki Sampoerna Mild 12/ 1 Slop/ Rokok Mild Kecil,365000,IDR,True,14,False,False
spesial-corkcicle-stemless-cup-coffee-tea-wine-tumbler-mug-metallic-copper,2023-08-24T21:43:47+07:00,11329444290,15398975,jujuku,1,182,750,GRAM,NEW,ACTIVE,https://www.tokopedia.com/jujuku/spesial-corkcicle-stemless-cup-coffee-tea-wine-tumbler-mug-metallic-copper,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,Spesial Corkcicle® Stemless Cup - Coffee / Tea / Wine Tumbler Mug - Metallic Copper,1200000,IDR,True,182,True,False
mm-180-sarung-pelindung-kipas-angin-jaring-penutup-kipas-jaring-kipas-pink-12-14inch,2022-11-15T02:59:16+07:00,6963481913,1583226,Evelniez Shop,1,100,20,GRAM,NEW,ACTIVE,https://www.tokopedia.com/evelniezshop/mm-180-sarung-pelindung-kipas-angin-jaring-penutup-kipas-jaring-kipas-pink-12-14inch,False,0,False,False,False,4957635,Keperluan Rumah Tangga,https://www.tokopedia.com/evelniezshop/etalase/keperluan-rumah-tangga,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",9,1,10,10,10,138,1,0,5.0,MM-180 Sarung Pelindung Kipas Angin Jaring Penutup Kipas Jaring Kipas - Pink(12-14inch),5000,IDR,True,100,True,False
promo-12-12-lemari-plastik-lemari-pakaian-laci-plastik-cabinet-swing-2,2023-08-11T03:44:05+07:00,11129181958,14473709,serba serbi3,1,940,750,GRAM,NEW,ACTIVE,https://www.tokopedia.com/sserbi3/promo-12-12-lemari-plastik-lemari-pakaian-laci-plastik-cabinet-swing-2,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,13,0,0,0.0,Promo 12.12 Lemari Plastik Lemari Pakaian Laci Plastik Cabinet - SWING 2,180900,IDR,True,940,True,False
