alias,dateCreate,productID,shopID,shopName,minOrder,maxOrder,weight,weightUnit,condition,status,product_url,needPrescription,catalogID,isLeasing,isBlacklisted,isTokoNow,etalase_id,etalase_name,etalase_url,category_id,category_name,category_title,category_url,isAdult,isKyc,minAge,related_category_id,related_category_name,related_category_url,transactionSuccess,transactionReject,countSold,paymentVerified,itemSoldFmt,countView,countReview,countTalk,rating,product_name,product_price,currency,useStock,stockValue,isVariant,isCOD,productId,shopId
ring-pengunci-jaring-kipas-angin-multi-spinner-pengunci-jaring-kipas,2022-11-04T21:47:53+07:00,6889108728.0,14056967.0,gudangonline2,1,198,100,GRAM,NEW,ACTIVE,https://www.tokopedia.com/gudangonline2/ring-pengunci-jaring-kipas-angin-multi-spinner-pengunci-jaring-kipas,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",1,1,1,1,1.0,152,1,0,5.0,RING PENGUNCI JARING KIPAS ANGIN MULTI SPINNER PENGUNCI JARING KIPAS,5000,IDR,True,198,False,False,,
sarung-kipas-angin-tutup-kipas-angin,2023-11-03T20:20:38+07:00,,,MEHWAh1234,1,33,750,GRAM,NEW,ACTIVE,https://www.tokopedia.com/mehwa840woskxnrow0/sarung-kipas-angin-tutup-kipas-angin,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,SARUNG KIPAS ANGIN / TUTUP KIPAS ANGIN,29000,IDR,True,33,False,False,12012996313.0,16598315.0
produk-terlaris-anggrek-onci-oncidium-oncydium-golden-sower-shower-dew,2023-02-06T19:42:23+07:00,,,murahnampolb,1,198,500,GRAM,NEW,ACTIVE,https://www.tokopedia.com/murahnampolb/produk-terlaris-anggrek-onci-oncidium-oncydium-golden-sower-shower-dew,False,0,False,False,False,33557257,Perlengkapan rumah,https://www.tokopedia.com/murahnampolb/etalase/perlengkapan-rumah,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,Produk terlaris anggrek onci oncidium oncydium golden sower shower dew,63000,IDR,True,198,False,False,7827408113.0,14830626.0
diskon-rokok-dunhill-putih-16-batang-1-slop-isi-10-bungkus,2023-08-27T02:19:36+07:00,,,bakaranshop,1,50,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/bakarans/diskon-rokok-dunhill-putih-16-batang-1-slop-isi-10-bungkus,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,13,0,0,0.0,Diskon Rokok Dunhill Putih 16 Batang 1 Slop Isi 10 Bungkus,471000,IDR,True,50,False,False,11374307192.0,16080517.0
diskon-rokok-camel-yellow-20,2023-08-27T02:12:42+07:00,,,bakaranshop,1,18,325,GRAM,NEW,ACTIVE,https://www.tokopedia.com/bakarans/diskon-rokok-camel-yellow-20,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,11,0,0,0.0,Diskon Rokok Camel Yellow 20,424000,IDR,True,18,False,False,11374189572.0,16080517.0
produk-terlaris-bibit-lidah-buaya-jumbo-pontianak,2023-02-06T19:42:26+07:00,,,murahnampolb,1,1494,500,GRAM,NEW,ACTIVE,https://www.tokopedia.com/murahnampolb/produk-terlaris-bibit-lidah-buaya-jumbo-pontianak,False,0,False,False,False,33557257,Perlengkapan rumah,https://www.tokopedia.com/murahnampolb/etalase/perlengkapan-rumah,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,3,0,0,0.0,Produk terlaris BIBIT LIDAH BUAYA JUMBO PONTIANAK,31500,IDR,True,1494,False,False,7827408622.0,14830626.0
terjangkau-archipelago-golden-vintage-per-batang-cerutu-indonesia,2023-08-27T02:17:46+07:00,,,bakaranshop,1,10,70,GRAM,NEW,ACTIVE,https://www.tokopedia.com/bakarans/terjangkau-archipelago-golden-vintage-per-batang-cerutu-indonesia,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,Terjangkau Archipelago Golden Vintage (Per Batang) Cerutu Indonesia,226000,IDR,True,10,False,False,11374274192.0,16080517.0
terjangkau-rokok-nice-bold-10-bungkus-slop,2023-08-27T02:23:58+07:00,,,kentangrebuss,1,10,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/kentangrebuss/terjangkau-rokok-nice-bold-10-bungkus-slop,False,0,False,False,False,0,,,4398,Produk Dewasa Lainnya,Produk Dewasa Lainnya,https://www.tokopedia.com/p/kesehatan/produk-dewasa/produk-dewasa-lainnya,True,False,0,"['715', '2496', '4398']","['Kesehatan', 'Produk Dewasa', 'Produk Dewasa Lainnya']","['https://www.tokopedia.com/p/kesehatan', 'https://www.tokopedia.com/p/kesehatan/produk-dewasa', 'https://www.tokopedia.com/p/kesehatan/produk-dewasa/produk-dewasa-lainnya']",0,0,0,0,,0,0,0,0.0,Terjangkau Rokok Nice Bold (10 Bungkus/Slop),235000,IDR,True,10,False,False,11374387348.0,16080380.0
miliki-dji-sam-soe-kretek,2023-08-27T02:19:01+07:00,,,bakaranshop,1,41,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/bakarans/miliki-dji-sam-soe-kretek,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,23,0,0,0.0,Miliki Dji Sam Soe Kretek,291000,IDR,True,41,False,False,11374296496.0,16080517.0
produk-terlaris-nozzel-nozzle-spuyer-lubang-4-sprayer-plastik-bengkok,2023-02-06T19:39:27+07:00,,,murahnampolb,1,392,500,GRAM,NEW,ACTIVE,https://www.tokopedia.com/murahnampolb/produk-terlaris-nozzel-nozzle-spuyer-lubang-4-sprayer-plastik-bengkok,False,0,False,False,False,33557257,Perlengkapan rumah,https://www.tokopedia.com/murahnampolb/etalase/perlengkapan-rumah,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",1,0,2,1,2,1,0,0,0.0,Produk terlaris Nozzel Nozzle Spuyer Lubang 4 Sprayer Plastik Bengkok,17100,IDR,True,392,False,False,7827379213.0,14830626.0
