dateDataRecord,productId,productUrl,exPram,imageUrl,categoryId,categoryName,gaKey,countReview,discountPercentage,preorder,name,price,priceInt,original_price,rating,shopId,shopUrl,shopName,goldmerchant,official,reputation,clover,location
2023-12-27 09:48:37.108389+07:00,2164588789,https://www.tokopedia.com/berkahakrilikcnc/nomor-rumah-acrylic-28-x-18-cm-hitam-text-puti-skrup-fischer?extParam=ivf%3Dfalse,ivf=false,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/22/9c8f758e-10a7-4184-929b-3586ec49da06.jpg,984,Hiasan Dinding,/category/rumah-tangga/dekorasi/hiasan-dinding/berkahakrilikcnc/nomor-rumah-acrylic-28-x-18-cm-hitam-text-puti-skrup-fischer,653,43,False,NOMOR RUMAH acrylic 28 x 18 cm,Rp27.110,27110,Rp47.900,5,7955236,https://www.tokopedia.com/berkahakrilikcnc,BERKAH AKRILIK LASER CUT,True,False,,,Kab. Bogor
2023-12-27 09:48:37.108389+07:00,2389102782,https://www.tokopedia.com/legnahome/hiasan-dinding-poster-kayu-multipanel-motif-jepang-japanese-art-random?extParam=ivf%3Dfalse,ivf=false,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/8/1bacdf62-5810-4f3a-a98f-7657c27d16a4.jpg,984,Hiasan Dinding,/category/rumah-tangga/dekorasi/hiasan-dinding/legnahome/hiasan-dinding-poster-kayu-multipanel-motif-jepang-japanese-art-random,229,26,False,Hiasan Dinding Poster Kayu Multipanel Motif Jepang japanese Art,Rp55.600,55600,Rp75.000,5,7731701,https://www.tokopedia.com/legnahome,Legna_Home,True,False,,,Bandung
2023-12-27 09:48:37.108389+07:00,2566658541,https://www.tokopedia.com/numeshop/1set-poster-bounty-wanted-one-piece-straw-hat-pirates-shp-mugiwara-a6-15cmx10cm?extParam=ivf%3Dfalse,ivf=false,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/3/80e476b7-52cb-4b61-9327-d5ec72f88fff.png,984,Hiasan Dinding,/category/rumah-tangga/dekorasi/hiasan-dinding/numeshop/1set-poster-bounty-wanted-one-piece-straw-hat-pirates-shp-mugiwara-a6-15cmx10cm,387,44,False,1set - Poster Bounty Wanted One Piece Straw Hat Pirates SHP Mugiwara,Rp10.000,10000,Rp18.000,5,604123,https://www.tokopedia.com/numeshop,NUME SHOP Tees & Toys,True,False,,,Bekasi
2023-12-27 09:48:37.108389+07:00,4018460213,https://www.tokopedia.com/sandrellashop/custom-nomor-rumah-akrilik-papan-alamat-nomer-rumah-acrylic-akmnr9-mnr9e-akrilik-sekrup?extParam=ivf%3Dfalse,ivf=false,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/20/20db77b9-c377-4b8e-a9cf-5735b4477733.jpg,984,Hiasan Dinding,/category/rumah-tangga/dekorasi/hiasan-dinding/sandrellashop/custom-nomor-rumah-akrilik-papan-alamat-nomer-rumah-acrylic-akmnr9-mnr9e-akrilik-sekrup,518,50,False,Custom Nomor Rumah Akrilik Papan Alamat Nomer Rumah Acrylic AKMNR9,Rp39.500,39500,Rp79.000,5,679769,https://www.tokopedia.com/sandrellashop,Sandrella Shop,True,False,,,Depok
2023-12-27 09:48:37.108389+07:00,7350232515,https://www.tokopedia.com/minimalis-home/mh-lampu-huruf-alfabet-led-angka-menggunakan-baterai-warm-white-btri-aaa-2pcs?extParam=ivf%3Dfalse,ivf=false,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/12/29/b2696929-b60b-4b95-8a07-fe255d8eefc1.jpg,984,Hiasan Dinding,/category/rumah-tangga/dekorasi/hiasan-dinding/minimalis-home/mh-lampu-huruf-alfabet-led-angka-menggunakan-baterai-warm-white-btri-aaa-2pcs,42,0,False,MH - Lampu Huruf Alfabet Led & Angka menggunakan Baterai Warm white,Rp4.500,4500,,5,8026688,https://www.tokopedia.com/minimalis-home,Minimalis Home and Decoration,True,False,,,Jakarta Selatan
2023-12-27 09:48:37.108389+07:00,3131742987,https://www.tokopedia.com/karyarumahtangga/oscar-cupcake-60x20cm-headboard-bed-foam-wallpanel-3d-stiker-dinding-pearl-40cm-x-20cm?extParam=ivf%3Dfalse,ivf=false,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/10/24/3e4a406d-95ac-4061-9a02-b7ecbdd22b39.jpg,984,Hiasan Dinding,/category/rumah-tangga/dekorasi/hiasan-dinding/karyarumahtangga/oscar-cupcake-60x20cm-headboard-bed-foam-wallpanel-3d-stiker-dinding-pearl-40cm-x-20cm,45,21,False,Oscar | Cupcake 60x20cm Headboard Bed Foam Wallpanel 3D Stiker Dinding,Rp32.787,32787,Rp41.503,5,2587228,https://www.tokopedia.com/karyarumahtangga,KARYA RUMAH TANGGA,True,False,,,Tangerang Selatan
2023-12-27 09:48:37.108389+07:00,4386110198,https://www.tokopedia.com/unique-official/one-piece-wanted-bounty-poster-onepiece-poster-kayu-pajangan-dinding-eustasskid?extParam=ivf%3Dfalse,ivf=false,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/1/80fa852e-3562-484a-ae9b-1d7cc2c13350.jpg,984,Hiasan Dinding,/category/rumah-tangga/dekorasi/hiasan-dinding/unique-official/one-piece-wanted-bounty-poster-onepiece-poster-kayu-pajangan-dinding-eustasskid,627,56,False,One Piece Wanted Bounty Poster Onepiece Poster Kayu Pajangan Dinding,Rp17.600,17600,Rp40.000,5,5336935,https://www.tokopedia.com/unique-official,Unique Official Store,True,True,,,Kab. Indramayu
2023-12-27 09:48:37.108389+07:00,1294273082,https://www.tokopedia.com/pranatanstore/fungling-fung-ling-wind-chime-lonceng-genta-angin-merak-naga-pixiu-merak?extParam=ivf%3Dfalse,ivf=false,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/10/29/84f63e26-7264-4700-931e-11a4476a724d.jpg,984,Hiasan Dinding,/category/rumah-tangga/dekorasi/hiasan-dinding/pranatanstore/fungling-fung-ling-wind-chime-lonceng-genta-angin-merak-naga-pixiu-merak,785,0,False,Fungling / Fung Ling / Wind chime Lonceng Genta Angin Merak Naga Pixiu,Rp27.500,27500,,5,8528457,https://www.tokopedia.com/pranatanstore,Pranatan Store,True,False,,,Kab. Tangerang
2023-12-27 09:48:37.108389+07:00,5498093692,https://www.tokopedia.com/prizedproject/poster-dinding-aesthetic-poster-aesthetic-poster-murah-retro-vin-retro-vintage-1?extParam=ivf%3Dfalse,ivf=false,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/10/19/c62e27b1-9664-4cbc-8bb3-bca1afba318d.jpg,984,Hiasan Dinding,/category/rumah-tangga/dekorasi/hiasan-dinding/prizedproject/poster-dinding-aesthetic-poster-aesthetic-poster-murah-retro-vin-retro-vintage-1,198,0,False,Poster Dinding Aesthetic | Poster Aesthetic | Poster Murah | Retro Vin,Rp24.000,24000,,5,896717,https://www.tokopedia.com/prizedproject,Prized Project,True,False,,,Kab. Sleman
2023-12-27 09:48:37.108389+07:00,6302694142,https://www.tokopedia.com/araycolection/nomor-rumah-minimalis-modern-doff-elegan-potrait-10x20-e674?extParam=ivf%3Dfalse,ivf=false,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/10/3e48ae5a-89f4-494b-8fc3-c37ce0543ab5.png,984,Hiasan Dinding,/category/rumah-tangga/dekorasi/hiasan-dinding/araycolection/nomor-rumah-minimalis-modern-doff-elegan-potrait-10x20-e674,747,0,False,Nomor Rumah Minimalis Modern Doff Elegan,Rp35.000,35000,,5,10227917,https://www.tokopedia.com/araycolection,Aray Colection,True,False,,,Yogyakarta
